match_type,gene
symbol,AC167363.1
symbol,AC169509.1
symbol,AC171111.1
symbol,AC174471.1
symbol,AC174800.1
symbol,AI182371
symbol,AI197445
symbol,AI413582
symbol,AI429214
symbol,AI463229
symbol,AI464131
symbol,AI467606
symbol,AI480526
symbol,AI506816
symbol,AI597479
symbol,AI661453
symbol,AI662270
symbol,AI837181
symbol,AI987944
symbol,AL589878.1
symbol,AL805899.1
symbol,AL805899.2
symbol,AU018091
symbol,AU020206
symbol,AU021092
symbol,AU022252
symbol,AU040320
symbol,AU041133
symbol,AV039307
symbol,AV099323
symbol,AW011738
symbol,AW046200
symbol,AW146154
symbol,AW209491
symbol,AW549877
symbol,AW554918
symbol,AY036118
symbol,AY074887
symbol,Aaas
symbol,Aacs
symbol,Aadat
symbol,Aaed1
symbol,Aagab
symbol,Aak1
symbol,Aamdc
symbol,Aamp
symbol,Aar2
symbol,Aars
symbol,Aars2
symbol,Aarsd1
symbol,Aasdh
symbol,Aasdhppt
symbol,Aatf
symbol,Aatk
symbol,Abca1
symbol,Abca13
symbol,Abca2
symbol,Abca3
symbol,Abca4
symbol,Abca5
symbol,Abca6
symbol,Abca7
symbol,Abca8a
symbol,Abca8b
symbol,Abcb10
symbol,Abcb1a
symbol,Abcb1b
symbol,Abcb6
symbol,Abcb7
symbol,Abcb8
symbol,Abcb9
symbol,Abcc1
symbol,Abcc10
symbol,Abcc12
symbol,Abcc3
symbol,Abcc4
symbol,Abcc5
symbol,Abcc9
symbol,Abcd1
symbol,Abcd2
symbol,Abcd3
symbol,Abcd4
symbol,Abce1
symbol,Abcf1
symbol,Abcf2
symbol,Abcf3
symbol,Abcg1
symbol,Abcg2
symbol,Abcg4
symbol,Abhd1
symbol,Abhd10
symbol,Abhd11
symbol,Abhd12
symbol,Abhd13
symbol,Abhd14a
symbol,Abhd14b
symbol,Abhd15
symbol,Abhd16a
symbol,Abhd17a
symbol,Abhd17b
symbol,Abhd17c
symbol,Abhd18
symbol,Abhd2
symbol,Abhd3
symbol,Abhd4
symbol,Abhd5
symbol,Abhd6
